"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","GetHierarchy","name字段缺失","0","0","1","0","0"
"","DeleteHierarchy","新增组织机构","0","0","1","0","0"
"","GetHierarchy","同一层级相同上级name重复","0","0","1","0","0"
"","UpdateHierarchy","更新组织","0","0","1","0","0"
"","GetHierarchy","name传空","0","0","1","0","0"
"","GetHierarchy","同一层级不同上级name重复","0","0","1","0","0"
"","SecondHierarchy","获取目录","0","0","1","0","0"
"","GetHierarchy","获取目录","1","0","0","0","0"
"","EnableHierarchy","停用禁用组织","0","0","1","0","0"
"","GetHierarchy","创建三级组织","0","0","1","0","0"
"","GetHierarchy","新增二级组织机构","0","0","1","0","0"
"","GetHierarchy","name传空格","1","0","0","0","0"
